TimeStart,TimeEnd,Length (s),File Name
10/14/2021 0:03:50.372,10/14/2021 0:33:51.772,1801.400,0055_Bridge05844A_morning_of_pour_034.ASC
10/14/2021 0:33:51.772,10/14/2021 1:03:53.145,1801.373,0056_Bridge05844A_morning_of_pour_035.ASC
10/14/2021 1:03:53.145,10/14/2021 1:33:54.525,1801.380,0057_Bridge05844A_morning_of_pour_036.ASC
10/14/2021 1:33:54.525,10/14/2021 2:03:55.912,1801.387,0058_Bridge05844A_morning_of_pour_037.ASC
10/14/2021 2:03:55.912,10/14/2021 2:33:57.399,1801.487,0059_Bridge05844A_morning_of_pour_038.ASC
10/14/2021 2:33:57.399,10/14/2021 3:03:58.839,1801.440,0060_Bridge05844A_morning_of_pour_039.ASC
10/14/2021 3:03:58.839,10/14/2021 3:34:00.246,1801.407,0061_Bridge05844A_morning_of_pour_040.ASC
10/14/2021 3:34:00.246,10/14/2021 4:04:01.639,1801.393,0062_Bridge05844A_morning_of_pour_041.ASC
10/14/2021 4:04:01.639,10/14/2021 4:34:03.019,1801.380,0063_Bridge05844A_morning_of_pour_042.ASC
10/14/2021 4:34:03.019,10/14/2021 5:04:04.392,1801.373,0064_Bridge05844A_morning_of_pour_043.ASC
10/14/2021 5:04:04.392,10/14/2021 5:34:05.819,1801.427,0065_Bridge05844A_morning_of_pour_044.ASC
10/14/2021 5:34:05.819,10/14/2021 6:04:07.192,1801.373,0066_Bridge05844A_morning_of_pour_045.ASC
10/14/2021 6:04:07.192,10/14/2021 6:34:08.559,1801.367,0067_Bridge05844A_morning_of_pour_046.ASC
10/14/2021 6:34:08.559,10/14/2021 7:04:10.046,1801.487,0068_Bridge05844A_morning_of_pour_047.ASC
10/14/2021 7:04:10.046,10/14/2021 7:34:11.493,1801.447,0069_Bridge05844A_morning_of_pour_048.ASC
10/14/2021 7:34:11.493,10/14/2021 8:04:12.873,1801.380,0070_Bridge05844A_morning_of_pour_049.ASC
10/14/2021 8:04:12.873,10/14/2021 8:34:14.253,1801.380,0071_Bridge05844A_morning_of_pour_050.ASC
10/14/2021 8:34:14.253,10/14/2021 9:04:15.626,1801.373,0072_Bridge05844A_morning_of_pour_051.ASC
10/14/2021 9:04:15.626,10/14/2021 9:34:17.019,1801.393,0073_Bridge05844A_morning_of_pour_052.ASC
10/14/2021 9:34:17.019,10/14/2021 10:04:18.386,1801.367,0074_Bridge05844A_morning_of_pour_053.ASC
10/14/2021 10:04:18.386,10/14/2021 10:34:19.879,1801.493,0075_Bridge05844A_morning_of_pour_054.ASC
10/14/2021 10:34:19.879,10/14/2021 11:04:21.346,1801.467,0076_Bridge05844A_morning_of_pour_055.ASC
10/14/2021 11:04:21.346,10/14/2021 11:06:43.753,142.407,0077_Bridge05844A_morning_of_pour_056.ASC
10/14/2021 11:06:43.753,10/14/2021 11:07:14.226,30.473,0078_Bridge05844A_morning_of_pour_057.ASC
10/14/2021 11:12:28.927,10/14/2021 11:42:30.000,1801.073,0079_Bridge05844A_afterpour.ASC
10/14/2021 11:42:30.000,10/14/2021 12:12:31.387,1801.387,0080_Bridge05844A_afterpour_001.ASC
10/14/2021 12:12:31.387,10/14/2021 12:42:32.827,1801.440,0081_Bridge05844A_afterpour_002.ASC
10/14/2021 12:42:32.827,10/14/2021 13:12:34.234,1801.407,0082_Bridge05844A_afterpour_003.ASC
10/14/2021 13:12:34.234,10/14/2021 13:42:35.601,1801.367,0083_Bridge05844A_afterpour_004.ASC
10/14/2021 13:42:35.601,10/14/2021 14:12:37.001,1801.400,0084_Bridge05844A_afterpour_005.ASC
10/14/2021 14:12:37.001,10/14/2021 14:42:38.488,1801.487,0085_Bridge05844A_afterpour_006.ASC
10/14/2021 14:42:38.488,10/14/2021 15:12:39.815,1801.327,0086_Bridge05844A_afterpour_007.ASC
10/14/2021 15:12:39.815,10/14/2021 15:42:41.255,1801.440,0087_Bridge05844A_afterpour_008.ASC
10/14/2021 15:42:41.255,10/14/2021 16:12:42.688,1801.433,0088_Bridge05844A_afterpour_009.ASC
10/14/2021 16:12:42.688,10/14/2021 16:42:44.041,1801.353,0089_Bridge05844A_afterpour_010.ASC
10/14/2021 16:42:44.041,10/14/2021 17:12:45.434,1801.393,0090_Bridge05844A_afterpour_011.ASC
10/14/2021 17:12:45.434,10/14/2021 17:42:46.814,1801.380,0091_Bridge05844A_afterpour_012.ASC
10/14/2021 17:42:46.814,10/14/2021 18:12:48.207,1801.393,0092_Bridge05844A_afterpour_013.ASC
10/14/2021 18:12:48.207,10/14/2021 18:42:49.680,1801.473,0093_Bridge05844A_afterpour_014.ASC
10/14/2021 18:42:49.680,10/14/2021 19:12:51.147,1801.467,0094_Bridge05844A_afterpour_015.ASC
10/14/2021 19:12:51.147,10/14/2021 19:42:52.520,1801.373,0095_Bridge05844A_afterpour_016.ASC
10/14/2021 19:42:52.520,10/14/2021 20:12:53.907,1801.387,0096_Bridge05844A_afterpour_017.ASC
