1800.626667,0001_Bridge05844A_data_1.ASC
1801.453333,0002_Bridge05844A_data_1_001.ASC
1801.433333,0003_Bridge05844A_data_1_002.ASC
1801.413333,0004_Bridge05844A_data_1_003.ASC
1801.406667,0005_Bridge05844A_data_1_004.ASC
1801.353333,0006_Bridge05844A_data_1_005.ASC
1801.46,0007_Bridge05844A_data_1_006.ASC
1801.42,0008_Bridge05844A_data_1_007.ASC
1801.353333,0009_Bridge05844A_data_1_008.ASC
1801.446667,0010_Bridge05844A_data_1_009.ASC
1801.406667,0011_Bridge05844A_data_1_010.ASC
1801.353333,0012_Bridge05844A_data_1_011.ASC
1801.42,0013_Bridge05844A_data_1_012.ASC
1801.4,0014_Bridge05844A_data_1_013.ASC
1801.333333,0015_Bridge05844A_data_1_014.ASC
1801.446667,0016_Bridge05844A_data_1_015.ASC
1801.433333,0017_Bridge05844A_data_1_016.ASC
1801.44,0018_Bridge05844A_data_1_017.ASC
914.8266667,0019_Bridge05844A_data_1_018.ASC
380.64,0020_Bridge05844A_data_1_019.ASC
1801.4,0021_Bridge05844A_morning_of_pour.ASC
1801.433333,0022_Bridge05844A_morning_of_pour_001.ASC
1801.38,0023_Bridge05844A_morning_of_pour_002.ASC
1801.38,0024_Bridge05844A_morning_of_pour_003.ASC
1801.406667,0025_Bridge05844A_morning_of_pour_004.ASC
1801.48,0026_Bridge05844A_morning_of_pour_005.ASC
1801.38,0027_Bridge05844A_morning_of_pour_006.ASC
1801.353333,0028_Bridge05844A_morning_of_pour_007.ASC
1801.406667,0029_Bridge05844A_morning_of_pour_008.ASC
1801.48,0030_Bridge05844A_morning_of_pour_009.ASC
1801.333333,0031_Bridge05844A_morning_of_pour_010.ASC
1801.426667,0032_Bridge05844A_morning_of_pour_011.ASC
1801.433333,0033_Bridge05844A_morning_of_pour_012.ASC
1801.393333,0034_Bridge05844A_morning_of_pour_013.ASC
1801.393333,0035_Bridge05844A_morning_of_pour_014.ASC
1801.386667,0036_Bridge05844A_morning_of_pour_015.ASC
1801.393333,0037_Bridge05844A_morning_of_pour_016.ASC
1801.493333,0038_Bridge05844A_morning_of_pour_017.ASC
1801.346667,0039_Bridge05844A_morning_of_pour_018.ASC
1801.44,0040_Bridge05844A_morning_of_pour_019.ASC
1801.386667,0041_Bridge05844A_morning_of_pour_020.ASC
1801.366667,0042_Bridge05844A_morning_of_pour_021.ASC
1801.393333,0043_Bridge05844A_morning_of_pour_022.ASC
1801.493333,0044_Bridge05844A_morning_of_pour_023.ASC
1801.32,0045_Bridge05844A_morning_of_pour_024.ASC
1801.433333,0046_Bridge05844A_morning_of_pour_025.ASC
1801.393333,0047_Bridge05844A_morning_of_pour_026.ASC
1801.406667,0048_Bridge05844A_morning_of_pour_027.ASC
1801.386667,0049_Bridge05844A_morning_of_pour_028.ASC
1801.366667,0050_Bridge05844A_morning_of_pour_029.ASC
1801.493333,0051_Bridge05844A_morning_of_pour_030.ASC
1801.353333,0052_Bridge05844A_morning_of_pour_031.ASC
1801.453333,0053_Bridge05844A_morning_of_pour_032.ASC
1801.386667,0054_Bridge05844A_morning_of_pour_033.ASC
1801.4,0055_Bridge05844A_morning_of_pour_034.ASC
1801.373333,0056_Bridge05844A_morning_of_pour_035.ASC
1801.38,0057_Bridge05844A_morning_of_pour_036.ASC
1801.386667,0058_Bridge05844A_morning_of_pour_037.ASC
1801.486667,0059_Bridge05844A_morning_of_pour_038.ASC
1801.44,0060_Bridge05844A_morning_of_pour_039.ASC
1801.406667,0061_Bridge05844A_morning_of_pour_040.ASC
1801.393333,0062_Bridge05844A_morning_of_pour_041.ASC
1801.38,0063_Bridge05844A_morning_of_pour_042.ASC
1801.373333,0064_Bridge05844A_morning_of_pour_043.ASC
1801.426667,0065_Bridge05844A_morning_of_pour_044.ASC
1801.373333,0066_Bridge05844A_morning_of_pour_045.ASC
1801.366667,0067_Bridge05844A_morning_of_pour_046.ASC
1801.486667,0068_Bridge05844A_morning_of_pour_047.ASC
1801.446667,0069_Bridge05844A_morning_of_pour_048.ASC
1801.38,0070_Bridge05844A_morning_of_pour_049.ASC
1801.38,0071_Bridge05844A_morning_of_pour_050.ASC
